Bin 0: Accuracy: 0.13043478260869565, Confidence: 0.053262787257177854, Size: 46.0
Bin 1: Accuracy: 0.34615384615384615, Confidence: 0.14941282378048365, Size: 52.0
Bin 2: Accuracy: 0.34545454545454546, Confidence: 0.2435665996173769, Size: 55.0
Bin 3: Accuracy: 0.509090909090909, Confidence: 0.349581152092919, Size: 55.0
Bin 4: Accuracy: 0.48, Confidence: 0.45169026137445656, Size: 75.0
Bin 5: Accuracy: 0.5862068965517241, Confidence: 0.5505827583378633, Size: 87.0
Bin 6: Accuracy: 0.6701030927835051, Confidence: 0.652612866367507, Size: 97.0
Bin 7: Accuracy: 0.6153846153846154, Confidence: 0.7514814280011172, Size: 104.0
Bin 8: Accuracy: 0.7543859649122807, Confidence: 0.8532070896865543, Size: 114.0
Bin 9: Accuracy: 0.875, Confidence: 0.9483511506285073, Size: 152.0
ECE: 0.08559791233131221
