Bin 0: Accuracy: 0.4375, Confidence: 0.055014328217756064, Size: 48.0
Bin 1: Accuracy: 0.46078431372549017, Confidence: 0.1489914834176517, Size: 102.0
Bin 2: Accuracy: 0.4953271028037383, Confidence: 0.24712946062715618, Size: 107.0
Bin 3: Accuracy: 0.5206611570247934, Confidence: 0.3477136988511631, Size: 121.0
Bin 4: Accuracy: 0.5391304347826087, Confidence: 0.4550352511915841, Size: 115.0
Bin 5: Accuracy: 0.6698113207547169, Confidence: 0.5524971985162536, Size: 106.0
Bin 6: Accuracy: 0.711340206185567, Confidence: 0.6508694196600733, Size: 97.0
Bin 7: Accuracy: 0.8383838383838383, Confidence: 0.7475222866708543, Size: 99.0
Bin 8: Accuracy: 0.8611111111111112, Confidence: 0.8497170430392665, Size: 36.0
Bin 9: Accuracy: 1.0, Confidence: 0.9174700150260396, Size: 6.0
ECE: 0.1619098451996227
