Bin 0: Accuracy: 0.19047619047619047, Confidence: 0.045318061848788976, Size: 42.0
Bin 1: Accuracy: 0.1, Confidence: 0.1540778740908412, Size: 30.0
Bin 2: Accuracy: 0.07692307692307693, Confidence: 0.2583729356458934, Size: 26.0
Bin 3: Accuracy: 0.16666666666666666, Confidence: 0.3600286413577406, Size: 30.0
Bin 4: Accuracy: 0.07407407407407407, Confidence: 0.4476715741498404, Size: 27.0
Bin 5: Accuracy: 0.425, Confidence: 0.5570906166820442, Size: 40.0
Bin 6: Accuracy: 0.4126984126984127, Confidence: 0.6548319644832985, Size: 63.0
Bin 7: Accuracy: 0.4482758620689655, Confidence: 0.7524309590066514, Size: 87.0
Bin 8: Accuracy: 0.4866666666666667, Confidence: 0.8578095138115713, Size: 150.0
Bin 9: Accuracy: 0.7608695652173914, Confidence: 0.9581522019421166, Size: 276.0
ECE: 0.24052611201778903
