Bin 0: Accuracy: 0.16666666666666666, Confidence: 0.050573036938714996, Size: 36.0
Bin 1: Accuracy: 0.061224489795918366, Confidence: 0.14838789341079467, Size: 49.0
Bin 2: Accuracy: 0.15625, Confidence: 0.25779115272375897, Size: 32.0
Bin 3: Accuracy: 0.16666666666666666, Confidence: 0.35333285780759516, Size: 48.0
Bin 4: Accuracy: 0.2708333333333333, Confidence: 0.4557966857939499, Size: 48.0
Bin 5: Accuracy: 0.234375, Confidence: 0.5511469015928336, Size: 64.0
Bin 6: Accuracy: 0.5056179775280899, Confidence: 0.6487775611685151, Size: 89.0
Bin 7: Accuracy: 0.5294117647058824, Confidence: 0.7518951214369267, Size: 119.0
Bin 8: Accuracy: 0.6830985915492958, Confidence: 0.8499620928333549, Size: 142.0
Bin 9: Accuracy: 0.9027777777777778, Confidence: 0.9475794414664921, Size: 144.0
ECE: 0.1545708084018345
