Bin 0: Accuracy: 0.14814814814814814, Confidence: 0.06861236061963341, Size: 27.0
Bin 1: Accuracy: 0.027777777777777776, Confidence: 0.15075054366923146, Size: 36.0
Bin 2: Accuracy: 0.08333333333333333, Confidence: 0.25456734532322595, Size: 36.0
Bin 3: Accuracy: 0.10810810810810811, Confidence: 0.3578016749732603, Size: 37.0
Bin 4: Accuracy: 0.22413793103448276, Confidence: 0.4463708895610412, Size: 58.0
Bin 5: Accuracy: 0.2823529411764706, Confidence: 0.5506642229018774, Size: 85.0
Bin 6: Accuracy: 0.41818181818181815, Confidence: 0.6448178604115842, Size: 110.0
Bin 7: Accuracy: 0.4948453608247423, Confidence: 0.7518538990586504, Size: 97.0
Bin 8: Accuracy: 0.7702702702702703, Confidence: 0.856959084289655, Size: 148.0
Bin 9: Accuracy: 0.9343065693430657, Confidence: 0.9429537602275967, Size: 137.0
ECE: 0.15764973445164981
