Bin 0: Accuracy: 0.3, Confidence: 0.06955885883154915, Size: 20.0
Bin 1: Accuracy: 0.0, Confidence: 0.1581718095100376, Size: 27.0
Bin 2: Accuracy: 0.1111111111111111, Confidence: 0.2527804913682805, Size: 36.0
Bin 3: Accuracy: 0.07142857142857142, Confidence: 0.34459727685158315, Size: 28.0
Bin 4: Accuracy: 0.06666666666666667, Confidence: 0.4510762738121612, Size: 45.0
Bin 5: Accuracy: 0.22857142857142856, Confidence: 0.5533692652152002, Size: 70.0
Bin 6: Accuracy: 0.4489795918367347, Confidence: 0.6559982197122214, Size: 98.0
Bin 7: Accuracy: 0.47333333333333333, Confidence: 0.7568609104112226, Size: 150.0
Bin 8: Accuracy: 0.7485380116959064, Confidence: 0.8517898660732006, Size: 171.0
Bin 9: Accuracy: 0.8809523809523809, Confidence: 0.9394339933523803, Size: 126.0
ECE: 0.1939095672662154
