Bin 0: Accuracy: 0.07142857142857142, Confidence: 0.05610293887500068, Size: 28.0
Bin 1: Accuracy: 0.10714285714285714, Confidence: 0.1438815734521525, Size: 28.0
Bin 2: Accuracy: 0.10344827586206896, Confidence: 0.2553316532524741, Size: 29.0
Bin 3: Accuracy: 0.16666666666666666, Confidence: 0.3537461474453776, Size: 30.0
Bin 4: Accuracy: 0.22727272727272727, Confidence: 0.4605446345121582, Size: 22.0
Bin 5: Accuracy: 0.13157894736842105, Confidence: 0.5510072999439242, Size: 38.0
Bin 6: Accuracy: 0.25555555555555554, Confidence: 0.6550073387955072, Size: 90.0
Bin 7: Accuracy: 0.27472527472527475, Confidence: 0.7601901065973365, Size: 91.0
Bin 8: Accuracy: 0.5298507462686567, Confidence: 0.8530837755495141, Size: 134.0
Bin 9: Accuracy: 0.8647686832740213, Confidence: 0.9537725936456499, Size: 281.0
ECE: 0.23475531572372985
