Bin 0: Accuracy: 0.0, Confidence: 0.0, Size: 0.0
Bin 1: Accuracy: 0.0, Confidence: 0.0, Size: 0.0
Bin 2: Accuracy: 0.0, Confidence: 0.24299576379568824, Size: 3.0
Bin 3: Accuracy: 0.0, Confidence: 0.35474136790378474, Size: 11.0
Bin 4: Accuracy: 0.4, Confidence: 0.4590214121930673, Size: 20.0
Bin 5: Accuracy: 0.4583333333333333, Confidence: 0.5529794535218602, Size: 24.0
Bin 6: Accuracy: 0.5517241379310345, Confidence: 0.6658158180863796, Size: 29.0
Bin 7: Accuracy: 0.723404255319149, Confidence: 0.7478165738059107, Size: 47.0
Bin 8: Accuracy: 0.7941176470588235, Confidence: 0.8395623728940625, Size: 34.0
Bin 9: Accuracy: 0.8, Confidence: 0.9359652159748159, Size: 10.0
ECE: 0.0867634157204707
